sku,name,categories,price,product_type,errors
90IG06F0-MO3R40,"ASUS ZenWiFi XD6 2-pack Dual-band [2.4 GHz / 5 GHz] Wi-Fi 6 [802.11ax] White 4 Internal","PC COMPONENTS / NETWORKING CARDS",109,,"Product Type is invalid or not supported"
90IG0590-MO3G20,"ASUS ZenWifi AX (XT8) Whole-Home Tri-band Router, Mesh System with WiFi 6, Black, 2 Pack","ACCESSORIES / NETWORKING DEVICES",181.5,,"Product Type is invalid or not supported"
90IG05N0-MO3R40,"ASUS ZenWifi XD4 AX1800 WiFi Mini Wireless Router, Gigabit Ethernet Tri-band, WiFi 6, 2.4 GHz/5 GHz, 2x Gigabit LAN, White, Pack of 2","ACCESSORIES / NETWORKING DEVICES",69,,"Product Type is invalid or not supported"
AM133,"AVerMedia AM133 Live Streamer Mic","ACCESSORIES / MICROPHONE & ACCESSORIES",30,,"Product Type is invalid or not supported"
61GC5700A0AB,"AVerMedia Live Gamer HD 2 Full HD PCIE Capture Card","PC COMPONENTS / CAPTURE CARD",44,,"Product Type is invalid or not supported"
04-05-0125,"AZZA AERO - ATX Mid-Tower PC Case - Black","PC COMPONENTS / PC CASE / ATX CASE",19.9,,"Product Type is invalid or not supported"
04-08-0103,"AZZA BLIZZARD SP 360 - 360mm High-Performance AIO Liquid Cooler","PC COMPONENTS / FANS & COOLERS",32.5,,"Product Type is invalid or not supported"
04-05-0117,"AZZA Cast 808 Mid-Tower PC Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",69.9,,"Product Type is invalid or not supported"
04-05-0116,"AZZA Cast 808 Mid-Tower PC Case - White","PC COMPONENTS / PC CASE / MID-TOWER CASE",69.9,,"Product Type is invalid or not supported"
04-05-0124,"AZZA ELISE - Micro-ATX PC Case - Black","PC COMPONENTS / PC CASE / MICRO ATX CASE",13.5,,"Product Type is invalid or not supported"
04-08-0104,"AZZA GALEFORCE 120 - 120mm All-in-One Liquid Cooler","PC COMPONENTS / FANS & COOLERS",14.9,,"Product Type is invalid or not supported"
04-08-0105,"AZZA GALEFORCE 240 - 240mm All-in-One Liquid Cooler","PC COMPONENTS / FANS & COOLERS",19.9,,"Product Type is invalid or not supported"
04-08-0106,"AZZA GALEFORCE 360 - 360mm All-in-One Liquid Cooler","PC COMPONENTS / FANS & COOLERS",27.5,,"Product Type is invalid or not supported"
04-05-0180,"AZZA LEGIONAIRE 470 - ATX Mid Tower Pc Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",22.5,,"Product Type is invalid or not supported"
04-05-0118,"AZZA Opus 809 ATX - Dual Orientation - CNC Milled Aluminum - 4 Side Tempered Glass PC Case - Black","PC COMPONENTS / PC CASE / ATX CASE",99.9,,"Product Type is invalid or not supported"
04-05-0182,"AZZA PYRAMID MESH CSAZ-804M - ATX Pyramid Enclosure - PC Case","PC COMPONENTS / PC CASE / ATX CASE",125,,"Product Type is invalid or not supported"
04-07-0056,"AZZA Power Supply Sleeved Cable ( Black & Gold ) Power Supply Cable Extension Kit with Extra-Sleeved - Black & Gold","PC COMPONENTS / POWER SUPPLY",12,,"Product Type is invalid or not supported"
04-08-0096,"AZZA SP Blizzard 240 All-in-One Liquid Cooler RGB Lights - Black","PC COMPONENTS / FANS & COOLERS",22.5,,"Product Type is invalid or not supported"
4711099472888,"AeroCool Skribble ARGB MID TOWER CASE","PC COMPONENTS / PC CASE / MID-TOWER CASE",19.5,,"Product Type is invalid or not supported"
4710562752342,"Aerocool Aero One Eclipse ARGB Mid Tower Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",24,,"Product Type is invalid or not supported"
4710562750195,"Aerocool Air Frost 2 FRGB Fan","PC COMPONENTS / FANS & COOLERS",4,,"Product Type is invalid or not supported"
4710562752434,"Aerocool AirHawk Duo ARGB Mid Tower Case Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",26.75,,"Product Type is invalid or not supported"
4710562758740,"Aerocool Bionic G-WT-V2 RGB Mid Tower Case - White","PC COMPONENTS / PC CASE / MID-TOWER CASE",10.75,,"Product Type is invalid or not supported"
ACCM-PB23013.11,"Aerocool Cronus G-BK-V1 ARGB Mid Tower Case","PC COMPONENTS / PC CASE / MID-TOWER CASE",27.75,,"Product Type is invalid or not supported"
4718009156357,"Aerocool Cylon Pro RGB Mid Tower Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",15,,"Product Type is invalid or not supported"
4718009158924,"Aerocool Cylon Pro RGB Mid Tower Case - White","PC COMPONENTS / PC CASE / MID-TOWER CASE",15.75,,"Product Type is invalid or not supported"
4718009152335,"Aerocool Cylon RGB Mid Tower Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",11.5,,"Product Type is invalid or not supported"
4718009152342,"Aerocool Cylon RGB Mid Tower Case - White","PC COMPONENTS / PC CASE / MID-TOWER CASE",12,,"Product Type is invalid or not supported"
4710562752595,"Aerocool Duo 14 ARGB 140 mm PC Fan","PC COMPONENTS / FANS & COOLERS",2.5,,"Product Type is invalid or not supported"
4710562755961,"Aerocool Fan Mirage 12 ARGB Case Fan","PC COMPONENTS / FANS & COOLERS",2.5,,"Product Type is invalid or not supported"
4710562752458,"Aerocool Night Hawk Duo ARGB Mid Tower Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",24.5,,"Product Type is invalid or not supported"
4718009158672,"Aerocool Playa G-BK-V3 RGB Mid Tower Case - Black","PC COMPONENTS / PC CASE / MID-TOWER CASE",21,,"Product Type is invalid or not supported"
